address*;netmask*;description;comment;source_lease_activity;dest_lease_activity;dhcp_members;active;static;network_view;dest_dhcp_members;IPAM_Data_Source;dest_network_view
10.192.68.0;255.255.252.0;10.192.68.0/22;Office1 BNT2 BNT3O;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;118;;default;;;
10.192.72.0;255.255.252.0;10.192.72.0/22;Office2 BNT3W BNT4;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;36;;default;;;
10.192.76.0;255.255.252.0;10.192.76.0/22;Office3 B10x B20x;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;85;;default;;;
10.192.80.0;255.255.252.0;10.192.80.0/22;Office4 BBH2 0 Kantine;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;11;;default;;;
10.192.84.0;255.255.252.0;10.192.84.0/22;Office5 BBH2 1;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;33;;default;;;
10.192.88.0;255.255.252.0;10.192.88.0/22;Office6 BBH2 2;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;34;;default;;;
10.192.92.0;255.255.255.224;10.192.92.0/27;SCCM test network beringen;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.192.96.0;255.255.254.0;10.192.96.0/23;Office8 WLAN-Range;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;275;;default;;;
10.192.98.0;255.255.254.0;10.192.98.0/23;Office9 Reserve;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.192.100.0;255.255.252.0;10.192.100.0/22;CAD1 NTx B10x B20x;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.192.104.0;255.255.252.0;10.192.104.0/22;CAD2 NewBuilding;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;125;;default;;;
10.192.110.0;255.255.255.0;10.192.110.0/24;CAD-VDI;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;27;;default;;;
10.192.112.0;255.255.252.0;10.192.112.0/22;Secure-Production1 - B10x B20x;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;48;;default;;;
10.192.116.0;255.255.255.0;10.192.116.0/24;Secure-Production5 - NTx;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;3;;default;;;
10.192.117.0;255.255.255.0;10.192.117.0/24;SecureProduction6 - BBH2;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;4;;default;;;
10.192.120.160;255.255.255.224;10.192.120.160/27;CH_Bng_Beringen;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;8;;default;;;
10.192.121.0;255.255.255.128;10.192.121.0/25;Kaba;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
10.192.122.0;255.255.254.0;10.192.122.0/23;ADD BY DHCP CHBNG r 2 10 192 122 1-10 192 123 254 ITM_Access;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.194.72.0;255.255.255.0;10.194.72.0/24;VLAN50 - Office LAN;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;36;;default;;;
10.194.73.0;255.255.255.128;10.194.73.0/25;VLAN40 - Office WiFi;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;39;;default;;;
10.227.106.0;255.255.255.0;10.227.106.0/24;VOIP;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.227.136.0;255.255.255.192;10.227.136.0/26;Management;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.227.136.192;255.255.255.192;10.227.136.192/26;Production_Access;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.227.137.64;255.255.255.224;10.227.137.64/27;WirelessDevices;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.227.137.96;255.255.255.224;10.227.137.96/27;WinXP;no;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;;;default;;;
10.227.137.128;255.255.255.128;10.227.137.128/25;WirelessUsers;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;64;;default;;;
10.227.138.0;255.255.254.0;10.227.138.0/23;VoIP;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.227.140.0;255.255.254.0;10.227.140.0/23;User;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;136;;default;;;
10.228.12.0;255.255.255.192;10.228.12.0/26;Network Management;no;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
10.228.13.0;255.255.255.0;10.228.13.0/24;Users;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;64;;default;;;
10.228.14.0;255.255.255.128;10.228.14.0/25;Wireless Users;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;31;;default;;;
10.228.15.0;255.255.255.128;10.228.15.0/25;Servers;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;2;;default;;;
10.228.46.0;255.255.255.192;10.228.46.0/26;Users VLAN 300;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;8;;default;;;
10.228.46.64;255.255.255.192;10.228.46.64/26;Wireless Users VLAN 500;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;4;;default;;;
10.228.244.0;255.255.255.192;10.228.244.0/26;XX_NOS;no;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;;;default;;;
10.228.244.128;255.255.255.128;10.228.244.128/25;ADD BY DHCP USRAL r 1 10 228 244 129-10 228 244 254 Raleigh;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;7;;default;;;
10.228.246.0;255.255.255.0;10.228.246.0/24;US_Ral_Raleigh_NC;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;20;;default;;;
10.228.247.0;255.255.255.192;10.228.247.0/26;US_Ral_Raleigh_NC;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;2;;default;;;
10.229.6.0;255.255.255.0;10.229.6.0/24;DC_PA_esz-msw;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;51;;default;;;
10.229.8.0;255.255.255.0;10.229.8.0/24;Wired Users - US_Dcr_Decatur_GA;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;97;;default;;;
10.229.9.0;255.255.255.0;10.229.9.0/24;Wireless Clients;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;85;;default;;;
10.229.10.0;255.255.255.128;10.229.10.0/25;Servers - US_Dcr_Decatur_GA;no;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;;;default;;;
10.229.10.128;255.255.255.128;10.229.10.128/25;Production - US_Dcr_Decatur_GA;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;1;;default;;;
10.229.108.128;255.255.255.128;10.229.108.128/25;North-America Bell Simon CI OSR12-NA;yes;;dcr-ddi-000.patec.group,wa2-ddi-003.patec.group;18;;default;;;
10.229.109.0;255.255.255.0;10.229.109.0/24;US_All_Allendale_NJ;yes;;wa2-ddi-003.patec.group,dcr-ddi-000.patec.group;25;;default;;;
100.69.37.0;255.255.255.128;100.69.37.0/25;DE_Dr3_Dresden;no;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;;;default;;;
100.69.37.128;255.255.255.128;100.69.37.128/25;DE_Dr3_Dresden;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
100.69.108.0;255.255.255.0;100.69.108.0/24;DE_Scm_mgmt;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
100.72.152.0;255.255.255.0;100.72.152.0/24;Distribution B100;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;1;;default;;;
100.72.153.0;255.255.255.0;100.72.153.0/24;Distribution B101;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
145.133.208.0;255.255.240.0;145.133.208.0/20;DE_Vi_Viersen_PA;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;201;;default;;;
145.134.128.0;255.255.240.0;145.134.128.0/20;Management-All components;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;454;;default;;;
174.154.0.0;255.255.0.0;174.154.0.0/16;ADD BY DHCP: FRREI s;;;;;;;;;
